,datetime,meter_reading,hour,minute,day,month,year
218808,2022-03-19 15:30:00,654986.0,15,30,19,3,2022
979706,2022-11-01 00:00:00,830981.0,0,0,1,11,2022
979707,2022-11-01 00:15:00,830985.0,0,15,1,11,2022
979708,2022-11-01 00:30:00,830988.0,0,30,1,11,2022
979709,2022-11-01 00:45:00,830991.0,0,45,1,11,2022
979710,2022-11-01 01:00:00,830995.0,1,0,1,11,2022
979711,2022-11-01 01:15:00,830998.0,1,15,1,11,2022
979712,2022-11-01 01:30:00,831002.0,1,30,1,11,2022
979713,2022-11-01 01:45:00,831004.0,1,45,1,11,2022
979714,2022-11-01 02:00:00,831008.0,2,0,1,11,2022
979715,2022-11-01 02:15:00,831011.0,2,15,1,11,2022
979716,2022-11-01 02:30:00,831015.0,2,30,1,11,2022
979717,2022-11-01 02:45:00,831018.0,2,45,1,11,2022
979718,2022-11-01 03:00:00,831022.0,3,0,1,11,2022
979719,2022-11-01 03:15:00,831026.0,3,15,1,11,2022
979720,2022-11-01 03:30:00,831032.0,3,30,1,11,2022
979721,2022-11-01 03:45:00,831037.0,3,45,1,11,2022
979722,2022-11-01 04:00:00,831043.0,4,0,1,11,2022
979723,2022-11-01 04:15:00,831049.0,4,15,1,11,2022
979724,2022-11-01 04:30:00,831054.0,4,30,1,11,2022
979725,2022-11-01 04:45:00,831060.0,4,45,1,11,2022
979726,2022-11-01 05:00:00,831065.0,5,0,1,11,2022
979727,2022-11-01 05:15:00,831071.0,5,15,1,11,2022
979728,2022-11-01 05:30:00,831076.0,5,30,1,11,2022
979729,2022-11-01 05:45:00,831083.0,5,45,1,11,2022
979730,2022-11-01 06:00:00,831090.0,6,0,1,11,2022
979731,2022-11-01 06:15:00,831098.0,6,15,1,11,2022
979732,2022-11-01 06:30:00,831105.0,6,30,1,11,2022
979733,2022-11-01 06:45:00,831112.0,6,45,1,11,2022
979734,2022-11-01 07:00:00,831117.0,7,0,1,11,2022
979735,2022-11-01 07:15:00,831125.0,7,15,1,11,2022
979736,2022-11-01 07:30:00,831133.0,7,30,1,11,2022
979737,2022-11-01 07:45:00,831144.0,7,45,1,11,2022
979738,2022-11-01 08:00:00,831156.0,8,0,1,11,2022
979739,2022-11-01 08:15:00,831167.0,8,15,1,11,2022
979740,2022-11-01 08:30:00,831179.0,8,30,1,11,2022
979741,2022-11-01 08:45:00,831191.0,8,45,1,11,2022
979742,2022-11-01 09:00:00,831203.0,9,0,1,11,2022
979743,2022-11-01 09:15:00,831215.0,9,15,1,11,2022
979744,2022-11-01 09:30:00,831226.0,9,30,1,11,2022
979745,2022-11-01 09:45:00,831238.0,9,45,1,11,2022
979746,2022-11-01 10:00:00,831248.0,10,0,1,11,2022
979747,2022-11-01 10:15:00,831258.0,10,15,1,11,2022
979748,2022-11-01 10:30:00,831270.0,10,30,1,11,2022
979749,2022-11-01 10:45:00,831283.0,10,45,1,11,2022
979750,2022-11-01 11:00:00,831295.0,11,0,1,11,2022
979751,2022-11-01 11:15:00,831308.0,11,15,1,11,2022
979752,2022-11-01 11:30:00,831319.0,11,30,1,11,2022
979753,2022-11-01 11:45:00,831332.0,11,45,1,11,2022
979754,2022-11-01 12:00:00,831344.0,12,0,1,11,2022
979755,2022-11-01 12:15:00,831357.0,12,15,1,11,2022
979756,2022-11-01 12:30:00,831369.0,12,30,1,11,2022
979757,2022-11-01 12:45:00,831382.0,12,45,1,11,2022
979758,2022-11-01 13:00:00,831394.0,13,0,1,11,2022
979759,2022-11-01 13:15:00,831407.0,13,15,1,11,2022
979760,2022-11-01 13:30:00,831419.0,13,30,1,11,2022
979761,2022-11-01 13:45:00,831432.0,13,45,1,11,2022
979762,2022-11-01 14:00:00,831445.0,14,0,1,11,2022
979763,2022-11-01 14:15:00,831457.0,14,15,1,11,2022
979764,2022-11-01 14:30:00,831470.0,14,30,1,11,2022
979765,2022-11-01 14:45:00,831483.0,14,45,1,11,2022
979766,2022-11-01 15:00:00,831495.0,15,0,1,11,2022
979767,2022-11-01 15:15:00,831509.0,15,15,1,11,2022
979768,2022-11-01 15:30:00,831522.0,15,30,1,11,2022
979769,2022-11-01 15:45:00,831534.0,15,45,1,11,2022
979770,2022-11-01 16:00:00,831547.0,16,0,1,11,2022
979771,2022-11-01 16:15:00,831558.0,16,15,1,11,2022
979772,2022-11-01 16:30:00,831570.0,16,30,1,11,2022
979773,2022-11-01 16:45:00,831579.0,16,45,1,11,2022
979774,2022-11-01 17:00:00,831588.0,17,0,1,11,2022
979775,2022-11-01 17:15:00,831597.0,17,15,1,11,2022
979776,2022-11-01 17:30:00,831605.0,17,30,1,11,2022
979777,2022-11-01 17:45:00,831614.0,17,45,1,11,2022
979778,2022-11-01 18:00:00,831621.0,18,0,1,11,2022
979779,2022-11-01 18:15:00,831630.0,18,15,1,11,2022
979780,2022-11-01 18:30:00,831638.0,18,30,1,11,2022
979781,2022-11-01 18:45:00,831645.0,18,45,1,11,2022
979782,2022-11-01 19:00:00,831652.0,19,0,1,11,2022
979783,2022-11-01 19:15:00,831656.0,19,15,1,11,2022
979784,2022-11-01 19:30:00,831659.0,19,30,1,11,2022
979785,2022-11-01 19:45:00,831663.0,19,45,1,11,2022
979786,2022-11-01 20:00:00,831666.0,20,0,1,11,2022
979787,2022-11-01 20:15:00,831670.0,20,15,1,11,2022
979788,2022-11-01 20:30:00,831673.0,20,30,1,11,2022
979789,2022-11-01 20:45:00,831677.0,20,45,1,11,2022
979790,2022-11-01 21:00:00,831681.0,21,0,1,11,2022
979791,2022-11-01 21:15:00,831684.0,21,15,1,11,2022
979792,2022-11-01 21:30:00,831687.0,21,30,1,11,2022
979793,2022-11-01 21:45:00,831690.0,21,45,1,11,2022
979794,2022-11-01 22:00:00,831694.0,22,0,1,11,2022
979795,2022-11-01 22:15:00,831697.0,22,15,1,11,2022
979796,2022-11-01 22:30:00,831701.0,22,30,1,11,2022
979797,2022-11-01 22:45:00,831703.0,22,45,1,11,2022
979798,2022-11-01 23:00:00,831707.0,23,0,1,11,2022
979799,2022-11-01 23:15:00,831710.0,23,15,1,11,2022
979800,2022-11-01 23:30:00,831714.0,23,30,1,11,2022
979801,2022-11-01 23:45:00,831717.0,23,45,1,11,2022
979802,2022-11-02 00:00:00,831720.0,0,0,2,11,2022
979803,2022-11-02 00:15:00,831724.0,0,15,2,11,2022
979804,2022-11-02 00:30:00,831727.0,0,30,2,11,2022
979805,2022-11-02 00:45:00,831731.0,0,45,2,11,2022
979806,2022-11-02 01:00:00,831734.0,1,0,2,11,2022
979807,2022-11-02 01:15:00,831738.0,1,15,2,11,2022
979808,2022-11-02 01:30:00,831741.0,1,30,2,11,2022
979809,2022-11-02 01:45:00,831744.0,1,45,2,11,2022
979810,2022-11-02 02:00:00,831748.0,2,0,2,11,2022
979811,2022-11-02 02:15:00,831751.0,2,15,2,11,2022
979812,2022-11-02 02:30:00,831755.0,2,30,2,11,2022
979813,2022-11-02 02:45:00,831758.0,2,45,2,11,2022
979814,2022-11-02 03:00:00,831761.0,3,0,2,11,2022
979815,2022-11-02 03:15:00,831765.0,3,15,2,11,2022
979816,2022-11-02 03:30:00,831768.0,3,30,2,11,2022
979817,2022-11-02 03:45:00,831773.0,3,45,2,11,2022
979818,2022-11-02 04:00:00,831778.0,4,0,2,11,2022
979819,2022-11-02 04:15:00,831784.0,4,15,2,11,2022
979820,2022-11-02 04:30:00,831790.0,4,30,2,11,2022
979821,2022-11-02 04:45:00,831796.0,4,45,2,11,2022
979822,2022-11-02 05:00:00,831801.0,5,0,2,11,2022
979823,2022-11-02 05:15:00,831807.0,5,15,2,11,2022
979824,2022-11-02 05:30:00,831812.0,5,30,2,11,2022
979825,2022-11-02 05:45:00,831819.0,5,45,2,11,2022
979826,2022-11-02 06:00:00,831827.0,6,0,2,11,2022
979827,2022-11-02 06:15:00,831835.0,6,15,2,11,2022
979828,2022-11-02 06:30:00,831841.0,6,30,2,11,2022
979829,2022-11-02 06:45:00,831848.0,6,45,2,11,2022
979830,2022-11-02 07:00:00,831855.0,7,0,2,11,2022
979831,2022-11-02 07:15:00,831861.0,7,15,2,11,2022
979832,2022-11-02 07:30:00,831870.0,7,30,2,11,2022
979833,2022-11-02 07:45:00,831878.0,7,45,2,11,2022
979834,2022-11-02 08:00:00,831890.0,8,0,2,11,2022
979835,2022-11-02 08:15:00,831901.0,8,15,2,11,2022
979836,2022-11-02 08:30:00,831913.0,8,30,2,11,2022
979837,2022-11-02 08:45:00,831925.0,8,45,2,11,2022
979838,2022-11-02 09:00:00,831936.0,9,0,2,11,2022
979839,2022-11-02 09:15:00,831948.0,9,15,2,11,2022
979840,2022-11-02 09:30:00,831960.0,9,30,2,11,2022
979841,2022-11-02 09:45:00,831972.0,9,45,2,11,2022
979842,2022-11-02 10:00:00,831983.0,10,0,2,11,2022
979843,2022-11-02 10:15:00,831996.0,10,15,2,11,2022
979844,2022-11-02 10:30:00,832008.0,10,30,2,11,2022
979845,2022-11-02 10:45:00,832020.0,10,45,2,11,2022
979846,2022-11-02 11:00:00,832031.0,11,0,2,11,2022
979847,2022-11-02 11:15:00,832041.0,11,15,2,11,2022
979848,2022-11-02 11:30:00,832052.0,11,30,2,11,2022
979849,2022-11-02 11:45:00,832065.0,11,45,2,11,2022
979850,2022-11-02 12:00:00,832077.0,12,0,2,11,2022
979851,2022-11-02 12:15:00,832089.0,12,15,2,11,2022
979852,2022-11-02 12:30:00,832101.0,12,30,2,11,2022
979853,2022-11-02 12:45:00,832113.0,12,45,2,11,2022
979854,2022-11-02 13:00:00,832126.0,13,0,2,11,2022
979855,2022-11-02 13:15:00,832138.0,13,15,2,11,2022
979856,2022-11-02 13:30:00,832151.0,13,30,2,11,2022
979857,2022-11-02 13:45:00,832164.0,13,45,2,11,2022
979858,2022-11-02 14:00:00,832175.0,14,0,2,11,2022
979859,2022-11-02 14:15:00,832188.0,14,15,2,11,2022
979860,2022-11-02 14:30:00,832201.0,14,30,2,11,2022
979861,2022-11-02 14:45:00,832212.0,14,45,2,11,2022
979862,2022-11-02 15:00:00,832225.0,15,0,2,11,2022
979863,2022-11-02 15:15:00,832237.0,15,15,2,11,2022
979864,2022-11-02 15:30:00,832250.0,15,30,2,11,2022
979865,2022-11-02 15:45:00,832262.0,15,45,2,11,2022
979866,2022-11-02 16:00:00,832275.0,16,0,2,11,2022
979867,2022-11-02 16:15:00,832286.0,16,15,2,11,2022
979868,2022-11-02 16:30:00,832297.0,16,30,2,11,2022
979869,2022-11-02 16:45:00,832306.0,16,45,2,11,2022
979870,2022-11-02 17:00:00,832314.0,17,0,2,11,2022
979871,2022-11-02 17:15:00,832323.0,17,15,2,11,2022
979872,2022-11-02 17:30:00,832331.0,17,30,2,11,2022
979873,2022-11-02 17:45:00,832339.0,17,45,2,11,2022
979874,2022-11-02 18:00:00,832346.0,18,0,2,11,2022
979875,2022-11-02 18:15:00,832354.0,18,15,2,11,2022
979876,2022-11-02 18:30:00,832362.0,18,30,2,11,2022
979877,2022-11-02 18:45:00,832369.0,18,45,2,11,2022
979878,2022-11-02 19:00:00,832375.0,19,0,2,11,2022
979879,2022-11-02 19:15:00,832378.0,19,15,2,11,2022
979880,2022-11-02 19:30:00,832383.0,19,30,2,11,2022
979881,2022-11-02 19:45:00,832386.0,19,45,2,11,2022
979882,2022-11-02 20:00:00,832390.0,20,0,2,11,2022
979883,2022-11-02 20:15:00,832393.0,20,15,2,11,2022
979884,2022-11-02 20:30:00,832396.0,20,30,2,11,2022
979885,2022-11-02 20:45:00,832400.0,20,45,2,11,2022
979886,2022-11-02 21:00:00,832403.0,21,0,2,11,2022
979887,2022-11-02 21:15:00,832407.0,21,15,2,11,2022
979888,2022-11-02 21:30:00,832410.0,21,30,2,11,2022
979889,2022-11-02 21:45:00,832413.0,21,45,2,11,2022
979890,2022-11-02 22:00:00,832417.0,22,0,2,11,2022
979891,2022-11-02 22:15:00,832420.0,22,15,2,11,2022
979892,2022-11-02 22:30:00,832423.0,22,30,2,11,2022
979893,2022-11-02 22:45:00,832427.0,22,45,2,11,2022
979894,2022-11-02 23:00:00,832430.0,23,0,2,11,2022
979895,2022-11-02 23:15:00,832434.0,23,15,2,11,2022
979896,2022-11-02 23:30:00,832437.0,23,30,2,11,2022
979897,2022-11-02 23:45:00,832440.0,23,45,2,11,2022
979898,2022-11-03 00:00:00,832443.0,0,0,3,11,2022
979899,2022-11-03 00:15:00,832446.0,0,15,3,11,2022
979900,2022-11-03 00:30:00,832450.0,0,30,3,11,2022
979901,2022-11-03 00:45:00,832453.0,0,45,3,11,2022
979902,2022-11-03 01:00:00,832456.0,1,0,3,11,2022
979903,2022-11-03 01:15:00,832460.0,1,15,3,11,2022
979904,2022-11-03 01:30:00,832463.0,1,30,3,11,2022
979905,2022-11-03 01:45:00,832466.0,1,45,3,11,2022
979906,2022-11-03 02:00:00,832469.0,2,0,3,11,2022
979907,2022-11-03 02:15:00,832473.0,2,15,3,11,2022
979908,2022-11-03 02:30:00,832475.0,2,30,3,11,2022
979909,2022-11-03 02:45:00,832479.0,2,45,3,11,2022
979910,2022-11-03 03:00:00,832482.0,3,0,3,11,2022
979911,2022-11-03 03:15:00,832486.0,3,15,3,11,2022
979912,2022-11-03 03:30:00,832489.0,3,30,3,11,2022
979913,2022-11-03 03:45:00,832495.0,3,45,3,11,2022
979914,2022-11-03 04:00:00,832500.0,4,0,3,11,2022
979915,2022-11-03 04:15:00,832506.0,4,15,3,11,2022
979916,2022-11-03 04:30:00,832511.0,4,30,3,11,2022
979917,2022-11-03 04:45:00,832518.0,4,45,3,11,2022
979918,2022-11-03 05:00:00,832523.0,5,0,3,11,2022
979919,2022-11-03 05:15:00,832531.0,5,15,3,11,2022
979920,2022-11-03 05:30:00,832535.0,5,30,3,11,2022
979921,2022-11-03 05:45:00,832541.0,5,45,3,11,2022
979922,2022-11-03 06:00:00,832548.0,6,0,3,11,2022
979923,2022-11-03 06:15:00,832556.0,6,15,3,11,2022
979924,2022-11-03 06:30:00,832562.0,6,30,3,11,2022
979925,2022-11-03 06:45:00,832567.0,6,45,3,11,2022
979926,2022-11-03 07:00:00,832572.0,7,0,3,11,2022
979927,2022-11-03 07:15:00,832576.0,7,15,3,11,2022
979928,2022-11-03 07:30:00,832583.0,7,30,3,11,2022
979929,2022-11-03 07:45:00,832590.0,7,45,3,11,2022
979930,2022-11-03 08:00:00,832601.0,8,0,3,11,2022
979931,2022-11-03 08:15:00,832613.0,8,15,3,11,2022
979932,2022-11-03 08:30:00,832625.0,8,30,3,11,2022
979933,2022-11-03 08:45:00,832637.0,8,45,3,11,2022
979934,2022-11-03 09:00:00,832649.0,9,0,3,11,2022
979935,2022-11-03 09:15:00,832661.0,9,15,3,11,2022
979936,2022-11-03 09:30:00,832672.0,9,30,3,11,2022
979937,2022-11-03 09:45:00,832684.0,9,45,3,11,2022
979938,2022-11-03 10:00:00,832696.0,10,0,3,11,2022
979939,2022-11-03 10:15:00,832708.0,10,15,3,11,2022
979940,2022-11-03 10:30:00,832720.0,10,30,3,11,2022
979941,2022-11-03 10:45:00,832732.0,10,45,3,11,2022
979942,2022-11-03 11:00:00,832744.0,11,0,3,11,2022
979943,2022-11-03 11:15:00,832755.0,11,15,3,11,2022
979944,2022-11-03 11:30:00,832767.0,11,30,3,11,2022
979945,2022-11-03 11:45:00,832779.0,11,45,3,11,2022
979946,2022-11-03 12:00:00,832793.0,12,0,3,11,2022
979947,2022-11-03 12:15:00,832805.0,12,15,3,11,2022
979948,2022-11-03 12:30:00,832818.0,12,30,3,11,2022
979949,2022-11-03 12:45:00,832830.0,12,45,3,11,2022
979950,2022-11-03 13:00:00,832843.0,13,0,3,11,2022
979951,2022-11-03 13:15:00,832856.0,13,15,3,11,2022
979952,2022-11-03 13:30:00,832869.0,13,30,3,11,2022
979953,2022-11-03 13:45:00,832881.0,13,45,3,11,2022
979954,2022-11-03 14:00:00,832894.0,14,0,3,11,2022
979955,2022-11-03 14:15:00,832907.0,14,15,3,11,2022
979956,2022-11-03 14:30:00,832919.0,14,30,3,11,2022
979957,2022-11-03 14:45:00,832932.0,14,45,3,11,2022
979958,2022-11-03 15:00:00,832944.0,15,0,3,11,2022
979959,2022-11-03 15:15:00,832957.0,15,15,3,11,2022
979960,2022-11-03 15:30:00,832969.0,15,30,3,11,2022
979961,2022-11-03 15:45:00,832982.0,15,45,3,11,2022
979962,2022-11-03 16:00:00,832994.0,16,0,3,11,2022
979963,2022-11-03 16:15:00,833006.0,16,15,3,11,2022
979964,2022-11-03 16:30:00,833018.0,16,30,3,11,2022
979965,2022-11-03 16:45:00,833027.0,16,45,3,11,2022
979966,2022-11-03 17:00:00,833036.0,17,0,3,11,2022
979967,2022-11-03 17:15:00,833045.0,17,15,3,11,2022
979968,2022-11-03 17:30:00,833053.0,17,30,3,11,2022
979969,2022-11-03 17:45:00,833061.0,17,45,3,11,2022
