,meter_reading,hour,minute,day,month,year
0,985065.0,0,15,1,8,2023
1,985069.0,0,30,1,8,2023
2,985074.0,0,45,1,8,2023
3,985080.0,1,0,1,8,2023
4,985087.0,1,15,1,8,2023
5,985092.0,1,30,1,8,2023
6,985097.0,1,45,1,8,2023
7,985101.0,2,0,1,8,2023
8,985106.0,2,15,1,8,2023
9,985111.0,2,30,1,8,2023
10,985115.0,2,45,1,8,2023
11,985120.0,3,0,1,8,2023
12,985126.0,3,15,1,8,2023
13,985133.0,3,30,1,8,2023
14,985137.0,3,45,1,8,2023
15,985142.0,4,0,1,8,2023
16,985147.0,4,15,1,8,2023
17,985151.0,4,30,1,8,2023
18,985156.0,4,45,1,8,2023
19,985161.0,5,0,1,8,2023
20,985165.0,5,15,1,8,2023
21,985172.0,5,30,1,8,2023
22,985178.0,5,45,1,8,2023
23,985182.0,6,0,1,8,2023
24,985188.0,6,15,1,8,2023
25,985193.0,6,30,1,8,2023
26,985199.0,6,45,1,8,2023
27,985204.0,7,0,1,8,2023
28,985210.0,7,15,1,8,2023
29,985217.0,7,30,1,8,2023
30,985224.0,7,45,1,8,2023
31,985235.0,8,0,1,8,2023
32,985244.0,8,15,1,8,2023
33,985252.0,8,30,1,8,2023
34,985261.0,8,45,1,8,2023
35,985270.0,9,0,1,8,2023
36,985278.0,9,15,1,8,2023
37,985288.0,9,30,1,8,2023
38,985298.0,9,45,1,8,2023
39,985309.0,10,0,1,8,2023
40,985320.0,10,15,1,8,2023
41,985331.0,10,30,1,8,2023
42,985341.0,10,45,1,8,2023
43,985351.0,11,0,1,8,2023
44,985361.0,11,15,1,8,2023
45,985372.0,11,30,1,8,2023
46,985383.0,11,45,1,8,2023
47,985394.0,12,0,1,8,2023
48,985404.0,12,15,1,8,2023
49,985413.0,12,30,1,8,2023
50,985424.0,12,45,1,8,2023
51,985435.0,13,0,1,8,2023
52,985445.0,13,15,1,8,2023
53,985455.0,13,30,1,8,2023
54,985464.0,13,45,1,8,2023
55,985478.0,14,0,1,8,2023
56,985487.0,14,15,1,8,2023
57,985497.0,14,30,1,8,2023
58,985507.0,14,45,1,8,2023
59,985519.0,15,0,1,8,2023
60,985529.0,15,15,1,8,2023
61,985539.0,15,30,1,8,2023
62,985552.0,15,45,1,8,2023
63,985563.0,16,0,1,8,2023
64,985572.0,16,15,1,8,2023
65,985581.0,16,30,1,8,2023
66,985591.0,16,45,1,8,2023
67,985597.0,17,0,1,8,2023
68,985604.0,17,15,1,8,2023
69,985611.0,17,30,1,8,2023
70,985618.0,17,45,1,8,2023
71,985625.0,18,0,1,8,2023
72,985632.0,18,15,1,8,2023
73,985639.0,18,30,1,8,2023
74,985647.0,18,45,1,8,2023
75,985654.0,19,0,1,8,2023
76,985662.0,19,15,1,8,2023
77,985669.0,19,30,1,8,2023
78,985676.0,19,45,1,8,2023
79,985684.0,20,0,1,8,2023
80,985690.0,20,15,1,8,2023
81,985696.0,20,30,1,8,2023
82,985702.0,20,45,1,8,2023
83,985706.0,21,0,1,8,2023
84,985713.0,21,15,1,8,2023
85,985719.0,21,30,1,8,2023
86,985726.0,21,45,1,8,2023
87,985731.0,22,0,1,8,2023
88,985736.0,22,15,1,8,2023
89,985741.0,22,30,1,8,2023
90,985746.0,22,45,1,8,2023
91,985751.0,23,0,1,8,2023
92,985758.0,23,15,1,8,2023
93,985765.0,23,30,1,8,2023
94,985770.0,23,45,1,8,2023
95,985775.0,0,0,2,8,2023
96,985779.0,0,15,2,8,2023
97,985784.0,0,30,2,8,2023
98,985789.0,0,45,2,8,2023
99,985795.0,1,0,2,8,2023
100,985801.0,1,15,2,8,2023
101,985809.0,1,30,2,8,2023
102,985813.0,1,45,2,8,2023
103,985818.0,2,0,2,8,2023
104,985823.0,2,15,2,8,2023
105,985828.0,2,30,2,8,2023
106,985832.0,2,45,2,8,2023
107,985838.0,3,0,2,8,2023
108,985844.0,3,15,2,8,2023
109,985851.0,3,30,2,8,2023
110,985856.0,3,45,2,8,2023
111,985860.0,4,0,2,8,2023
112,985865.0,4,15,2,8,2023
113,985869.0,4,30,2,8,2023
114,985874.0,4,45,2,8,2023
115,985878.0,5,0,2,8,2023
116,985884.0,5,15,2,8,2023
117,985890.0,5,30,2,8,2023
118,985897.0,5,45,2,8,2023
